BARRID,SED-CUS,LOCID,NAME,HBETA,PBETA,SRISK%,TRISK%,COUNTRY,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,INDNAME,IND,PRICE,CAPITALIZATION,YLD%,ESTU,ISOCURR,INTRA_MONTH_ADDITION,
CHNAQI1,,CN600751,HNATECHNOLOGYCOLTD,1.197,1.311,36.495,49.230,1.000,0.704,-1.084,-1.545,1.874,-0.419,1.935,2.729,2.036,0.574,1.086,HDWRSEMI,31,3.130,8054081732.760,0.000,1,CNY,0,
CHNAQJ1,,CN000608,YANGGUANGCOLTD,0.731,0.911,35.638,46.513,1.000,-0.947,-2.157,-2.593,-1.805,0.417,-2.160,1.728,0.841,-1.138,-0.675,REALEST,29,3.750,2812175047.500,0.000,1,CNY,0,
CHNAQK1,,CN000548,HUNANINVESTMENTGROUPCOLTD,0.833,0.891,28.755,38.485,1.000,-0.586,-1.222,-2.912,0.207,-0.985,-0.243,1.245,-1.196,-0.158,-1.849,RDRLTRAN,16,4.000,1996863200.000,0.000,1,CNY,0,
CHNAQM1,,CN600109,SINOLINKSECURITIESCOLTD,1.614,1.552,28.901,48.449,1.000,2.179,0.780,0.100,-0.461,-0.479,-1.473,-0.112,-0.176,2.000,0.149,DVFININS,28,16.670,50416069697.700,0.278,1,CNY,0,
CHNAQM2,,CN600109,SINOLINKSECURITIESCOLTD,1.614,1.552,28.901,48.449,1.000,2.179,0.780,0.100,-0.461,-0.479,-1.473,-0.112,-0.176,2.000,0.149,DVFININS,28,16.670,50416069697.700,0.278,0,CNY,0,
CHNAQN1,,CN000552,GANSUJINGYUANCOALINDYANDELEC,0.991,1.124,26.137,38.540,1.000,-0.027,-0.194,-1.730,1.524,-0.132,0.160,2.160,-1.103,0.365,0.969,ENERGY,1,3.100,7089610255.000,3.215,1,CNY,0,
CHNAQN2,,CN000552,GANSUJINGYUANCOALINDYANDELEC,0.991,1.124,26.137,38.540,1.000,-0.027,-0.194,-1.730,1.524,-0.132,0.160,2.160,-1.103,0.365,0.969,ENERGY,1,3.100,7089610255.000,3.215,0,CNY,0,
CHNAQO1,,CN000555,DIGITALCHINAINFORSERVICECOLTD,1.380,1.270,30.929,44.080,1.000,1.352,-0.153,-0.958,-0.631,-0.805,-0.315,-0.360,-0.832,1.148,1.060,SOFTWARE,30,16.690,16231605211.160,0.221,1,CNY,0,
CHNAQO2,,CN000555,DIGITALCHINAINFORSERVICECOLTD,1.380,1.270,30.929,44.080,1.000,1.352,-0.153,-0.958,-0.631,-0.805,-0.315,-0.360,-0.832,1.148,1.060,SOFTWARE,30,16.690,16231605211.160,0.221,0,CNY,0,
CHNAQP1,,CN000567,HAINANHAIDECAPITALMGMTCOLTD,1.278,1.276,48.172,58.027,1.000,0.991,-1.725,-1.832,-0.741,-0.185,0.908,0.830,0.035,-0.356,0.873,REALEST,29,9.910,6353686756.660,0.000,1,CNY,0,
CHNAQP2,,CN000567,HAINANHAIDECAPITALMGMTCOLTD,1.278,1.276,48.172,58.027,1.000,0.991,-1.725,-1.832,-0.741,-0.185,0.908,0.830,0.035,-0.356,0.873,REALEST,29,9.910,6353686756.660,0.000,0,CNY,0,
CHNAQR1,,CN000546,JINYUANEPCOLTD,0.689,0.906,31.656,42.952,1.000,-1.094,-1.649,-1.956,2.455,-0.339,1.087,1.183,-0.317,-0.799,0.726,CONMAT,3,7.790,5567079844.840,1.026,1,CNY,0,
CHNAQR2,,CN000546,JINYUANEPCOLTD,0.689,0.906,31.656,42.952,1.000,-1.094,-1.649,-1.956,2.455,-0.339,1.087,1.183,-0.317,-0.799,0.726,CONMAT,3,7.790,5567079844.840,1.026,0,CNY,0,
CHNAQS1,,CN000560,5I5JHOLDINGGROUPCOLTD,0.767,1.086,39.680,48.485,1.000,-0.818,-1.142,-1.513,0.889,0.879,2.392,2.139,-0.665,-0.176,1.100,REALEST,29,3.800,8950903233.800,1.786,1,CNY,0,
CHNAQS2,,CN000560,5I5JHOLDINGGROUPCOLTD,0.767,1.086,39.680,48.485,1.000,-0.818,-1.142,-1.513,0.889,0.879,2.392,2.139,-0.665,-0.176,1.100,REALEST,29,3.800,8950903233.800,1.786,0,CNY,0,
CHNAQT1,,CN600760,AVICSHENYANGAIRCRAFTCOLTD,1.426,1.408,37.629,55.417,1.000,1.513,0.127,0.552,-0.953,0.963,-2.452,-1.043,-0.979,1.025,-0.284,AERODEF,6,58.500,81922773172.500,0.247,1,CNY,0,
CHNAQT2,,CN600760,AVICSHENYANGAIRCRAFTCOLTD,1.426,1.408,37.629,55.417,1.000,1.513,0.127,0.552,-0.953,0.963,-2.452,-1.043,-0.979,1.025,-0.284,AERODEF,6,58.500,81922773172.500,0.247,0,CNY,0,
CHNAQV1,,CN600748,SHANGHAIINDUSTRIALDEVELOPMENTCO,0.842,0.986,32.496,43.201,1.000,-0.552,-1.611,-1.455,1.195,-0.431,-0.517,2.430,2.135,-0.632,1.119,REALEST,29,5.160,9517944522.720,1.873,1,CNY,0,
CHNAQV2,,CN600748,SHANGHAIINDUSTRIALDEVELOPMENTCO,0.842,0.986,32.496,43.201,1.000,-0.552,-1.611,-1.455,1.195,-0.431,-0.517,2.430,2.135,-0.632,1.119,REALEST,29,5.160,9517944522.720,1.873,0,CNY,0,
CHNAQW1,,CN000010,SHENZHENECOBEAUTYCOLTD,0.707,0.903,38.811,46.277,1.000,-1.032,-0.623,-2.445,-0.758,0.717,-0.513,-0.969,-1.062,-0.921,-0.245,COMSERV,13,4.020,3295815946.260,0.000,1,CNY,0,
CHNAQW2,,CN000010,SHENZHENECOBEAUTYCOLTD,0.707,0.903,38.811,46.277,1.000,-1.032,-0.623,-2.445,-0.758,0.717,-0.513,-0.969,-1.062,-0.921,-0.245,COMSERV,13,4.020,3295815946.260,0.000,0,CNY,0,
CHNAQZ1,,CN600761,ANHUIHELICOLTD,1.083,1.144,34.819,43.875,1.000,0.300,1.155,-1.281,0.595,0.089,0.160,0.119,-0.923,0.227,1.141,MACH,11,15.500,11472802431.000,2.335,1,CNY,0,
CHNAQZ2,,CN600761,ANHUIHELICOLTD,1.083,1.144,34.819,43.875,1.000,0.300,1.155,-1.281,0.595,0.089,0.160,0.119,-0.923,0.227,1.141,MACH,11,15.500,11472802431.000,2.335,0,CNY,0,
