BARRID,SED-CUS,LOCID,NAME,HBETA,PBETA,SRISK%,TRISK%,COUNTRY,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,INDNAME,IND,PRICE,CAPITALIZATION,YLD%,ESTU,ISOCURR,INTRA_MONTH_ADDITION,
CHNAAA2,,CN600612,LAOFENGXIANGCOLTD,0.909,0.945,31.008,38.694,1.000,-0.318,-0.999,-0.802,0.331,-0.400,-0.225,-0.419,0.246,-0.501,0.974,LEISLUX,19,48.060,15240288817.800,2.439,1,CNY,0,
CHNAAA3,,CN600612,LAOFENGXIANGCOLTD,0.909,0.945,31.008,38.694,1.000,-0.318,-0.999,-0.802,0.331,-0.400,-0.225,-0.419,0.246,-0.501,0.974,LEISLUX,19,48.060,15240288817.800,2.439,0,CNY,0,
CHNAAB2,,CN000012,CSGHOLDINGCOLTD,1.275,1.232,36.545,48.600,1.000,0.979,1.554,-0.996,0.011,0.102,-0.270,0.137,-0.053,1.488,1.077,CONMAT,3,6.650,13042816397.100,1.022,1,CNY,0,
CHNAAB3,,CN000012,CSGHOLDINGCOLTD,1.277,1.232,36.545,48.600,1.000,0.979,1.554,-0.996,0.011,0.102,-0.270,0.137,-0.053,1.488,1.077,CONMAT,3,6.650,13042816397.100,1.022,0,CNY,0,
CHNAAC2,,CN600610,SHANGHAIZHONGYIDA,,0.952,48.555,54.996,1.000,-0.200,-0.897,-2.350,-0.615,-0.156,-1.983,-1.380,-0.843,-1.293,-0.004,COMSERV,13,4.550,3234661452.750,0.000,1,CNY,0,
CHNAAD2,,CN000513,LIVZONPHARMACEUTICALGROUPINC,1.051,1.015,26.409,37.406,1.000,0.187,0.012,-0.234,-0.165,-0.247,-0.218,-0.471,-0.932,0.589,0.491,HEALTH,26,42.680,26661683797.320,2.726,1,CNY,0,
CHNAAD3,,CN000513,LIVZONPHARMACEUTICALGROUPINC,1.051,1.015,26.409,37.406,1.000,0.187,0.012,-0.234,-0.165,-0.247,-0.218,-0.471,-0.932,0.589,0.491,HEALTH,26,42.680,26661683797.320,2.726,0,CNY,0,
CHNAAE2,,CN600648,SHANGHAIWAIGAOQIAOFREETRADEZONE,0.793,0.847,32.329,38.929,1.000,-0.727,-0.579,-1.057,0.074,-0.785,-0.556,0.653,1.864,-0.642,1.100,TRDDIST,12,14.290,13358172306.960,1.636,1,CNY,0,
CHNAAE3,,CN600648,SHANGHAIWAIGAOQIAOFREETRADEZONE,0.793,0.847,32.329,38.929,1.000,-0.727,-0.579,-1.057,0.074,-0.785,-0.556,0.653,1.864,-0.642,1.100,TRDDIST,12,14.290,13358172306.960,1.636,0,CNY,0,
CHNAAF2,,CN600618,SHANGHAICHLOR-ALKALICHEMICALCOL,0.730,0.905,30.664,38.801,1.000,-0.950,-1.345,-1.758,0.472,-0.496,-0.134,0.310,-1.092,-0.722,0.945,CHEM,2,7.590,5691285417.840,1.274,1,CNY,0,
CHNAAF3,,CN600618,SHANGHAICHLOR-ALKALICHEMICALCOL,0.730,0.905,30.664,38.801,1.000,-0.950,-1.345,-1.758,0.472,-0.496,-0.134,0.310,-1.092,-0.722,0.945,CHEM,2,7.590,5691285417.840,1.274,0,CNY,0,
CHNAAG2,,CN600611,DAZHONGTRANSPORTATIONGROUPCOLTD,0.749,0.728,20.929,29.916,1.000,-0.885,-0.953,-1.719,1.087,-1.982,-0.055,1.979,0.031,-1.764,0.978,RDRLTRAN,16,3.570,5581039419.480,3.397,1,CNY,0,
CHNAAG3,,CN600611,DAZHONGTRANSPORTATIONGROUPCOLTD,0.749,0.728,20.929,29.916,1.000,-0.885,-0.953,-1.719,1.087,-1.982,-0.055,1.979,0.031,-1.764,0.978,RDRLTRAN,16,3.570,5581039419.480,3.397,0,CNY,0,
CHNAAI1,,CN600619,SHANGHAIHIGHLYGROUPCOLTD,0.686,0.870,26.574,35.693,1.000,-1.105,-1.625,-1.983,0.739,-0.507,0.547,0.790,-0.370,-1.647,0.688,MACH,11,7.480,4481497239.560,2.432,1,CNY,0,
CHNAAJ1,,CN600614,PENGQITECHNOLOGYDEVELOPMENTCOLT,0.142,0.656,48.233,58.659,1.000,-2.995,-3.538,-3.400,-2.956,1.458,-1.612,-1.098,1.193,-0.678,-2.525,MTLMIN,4,0.740,1118500866.920,0.000,1,CNY,0,
CHNAAJ4,,CN600614,PENGQITECHNOLOGYDEVELOPMENTCOLT,0.142,0.656,48.233,58.659,1.000,-2.995,-3.538,-3.400,-2.956,1.458,-1.612,-1.098,1.193,-0.678,-2.525,MTLMIN,4,0.740,1118500866.920,0.000,0,CNY,0,
CHNAAK2,,CN600623,SHANGHAIHUAYIGROUPCOLTD,0.783,0.911,23.374,34.256,1.000,-0.763,-1.011,-1.163,0.705,-0.615,-0.608,2.729,1.403,-0.720,1.129,CHEM,2,6.570,12234632732.910,1.637,1,CNY,0,
CHNAAK3,,CN600623,SHANGHAIHUAYIGROUPCOLTD,0.783,0.911,23.374,34.256,1.000,-0.763,-1.011,-1.163,0.705,-0.615,-0.608,2.729,1.403,-0.720,1.129,CHEM,2,6.570,12234632732.910,1.637,0,CNY,0,
CHNAAL1,,CN600602,INESAINTELLIGENTTECHINC,1.071,0.959,24.969,37.022,1.000,0.258,-1.883,-1.682,-0.632,-1.765,-0.180,0.171,-1.134,-1.315,1.006,SOFTWARE,30,6.140,6596220420.000,0.868,1,CNY,0,
CHNAAM1,,CN600613,SHANGHAISHENQIPHARMA,0.708,0.887,32.272,44.688,1.000,-1.029,-2.782,-2.667,-0.884,0.080,-0.786,1.466,-0.542,-1.056,-0.916,HEALTH,26,5.100,2444531887.800,0.000,1,CNY,0,
CHNAAM3,,CN600613,SHANGHAISHENQIPHARMA,0.708,0.887,32.272,44.688,1.000,-1.029,-2.782,-2.667,-0.884,0.080,-0.786,1.466,-0.542,-1.056,-0.916,HEALTH,26,5.100,2444531887.800,0.000,0,CNY,0,
CHNAAN2,,CN000017,SHENZHENCHINABICYCLECOMPHLDSLT,0.802,0.970,38.194,50.288,1.000,-0.696,-2.831,-3.568,-1.002,0.575,-2.586,-1.388,-1.196,-0.560,-2.525,LEISLUX,19,2.590,784737884.000,0.000,1,CNY,0,
CHNAAO2,,CN001872,CHINAMERCHANTSPORTGROUPCOLTD,0.944,0.874,24.825,34.145,1.000,-0.191,-0.756,-0.431,1.207,-0.773,0.567,2.247,1.914,-2.241,0.681,RDRLTRAN,16,15.760,27461322377.440,2.801,1,CNY,0,
CHNAAO3,,CN001872,CHINAMERCHANTSPORTGROUPCOLTD,0.944,0.874,24.825,34.145,1.000,-0.191,-0.756,-0.431,1.207,-0.773,0.567,2.247,1.914,-2.241,0.681,RDRLTRAN,16,15.760,27461322377.440,2.801,0,CNY,0,
CHNAAP1,,CN000020,SHENZHENZHONGHENGHUAFACOLTD,1.056,1.038,35.013,45.562,1.000,0.205,-1.543,-2.876,-0.862,-0.539,0.282,-1.037,-0.277,-0.835,-1.698,HDWRSEMI,31,10.000,1811654000.000,0.000,1,CNY,0,
CHNAAQ2,,CN000016,KONKAGROUPCOLTD,1.408,1.460,48.164,59.374,1.000,1.451,-0.743,-1.196,-0.378,0.292,1.083,0.263,2.488,1.613,1.135,HOUSEDUR,18,6.830,10904735654.000,0.739,1,CNY,0,
CHNAAQ3,,CN000016,KONKAGROUPCOLTD,1.408,1.460,48.164,59.374,1.000,1.451,-0.743,-1.196,-0.378,0.292,1.083,0.263,2.488,1.613,1.135,HOUSEDUR,18,6.830,10904735654.000,0.739,0,CNY,0,
CHNAAS1,,CN000011,SHENZHENPROPS&RESDEV,1.360,1.515,55.415,66.423,1.000,1.281,-0.787,-1.732,1.285,1.543,0.850,-0.196,1.315,0.610,0.968,REALEST,29,12.800,6763185920.000,2.605,1,CNY,0,
CHNAAS3,,CN000011,SHENZHENPROPS&RESDEV,1.360,1.515,55.415,66.423,1.000,1.281,-0.787,-1.732,1.285,1.543,0.850,-0.196,1.315,0.610,0.968,REALEST,29,12.800,6763185920.000,2.605,0,CNY,0,
CHNAAT2,,CN000019,SHENZHENCEREALSHOLDINGSCOLTD,1.114,1.128,39.333,50.027,1.000,0.409,-1.254,-1.536,-0.296,-0.009,2.554,0.188,-0.282,-0.526,1.090,FOODPROD,25,7.770,8553107017.980,2.558,1,CNY,0,
CHNAAT3,,CN000019,SHENZHENCEREALSHOLDINGSCOLTD,1.114,1.128,39.333,50.027,1.000,0.409,-1.254,-1.536,-0.296,-0.009,2.554,0.188,-0.282,-0.526,1.090,FOODPROD,25,7.770,8553107017.980,2.558,0,CNY,0,
CHNAAU2,,CN000002,CHINAVANKECOLTD,0.603,0.728,19.779,29.878,1.000,-1.399,-0.101,1.080,2.075,-0.174,0.114,0.410,1.633,0.633,-0.604,REALEST,29,28.660,278695472635.780,3.311,1,CNY,0,
CHNAAU3,,CN000002,CHINAVANKECOLTD,0.603,0.728,19.779,29.878,1.000,-1.399,-0.101,1.080,2.075,-0.174,0.114,0.410,1.633,0.633,-0.604,REALEST,29,28.660,278695472635.780,3.311,0,CNY,0,
CHNAAY1,,CN600652,SHANGHAIU9GAMECOLTD,0.630,0.711,31.610,40.782,1.000,-1.306,-1.203,-3.014,-0.688,-0.352,-3.044,1.648,-1.142,-1.343,-2.299,SOFTWARE,30,2.150,1790312520.700,0.000,1,CNY,0,
CHNAAZ1,,CN000004,SHENZHENGUOHUANETWORKSECURITYTE,1.120,1.315,54.419,65.311,1.000,0.431,-1.335,-2.258,-0.649,1.310,-1.310,-0.394,-1.196,0.945,0.204,HEALTH,26,24.400,4027284050.000,0.000,1,CNY,0,
CHNABB1,,CN000031,GRANDJOYHOLDINGSGROUPCOLTD,0.909,0.853,22.608,34.101,1.000,-0.316,-1.488,-0.756,1.336,-1.223,-0.670,1.625,1.843,-1.853,0.944,REALEST,29,4.700,20145672693.300,3.571,1,CNY,0,
CHNABB2,,CN000031,GRANDJOYHOLDINGSGROUPCOLTD,0.909,0.853,22.608,34.101,1.000,-0.316,-1.488,-0.756,1.336,-1.223,-0.670,1.625,1.843,-1.853,0.944,REALEST,29,4.700,20145672693.300,3.571,0,CNY,0,
CHNABD1,,CN600673,GUANGDONGHECTECHNOLOGYHOLDINGCO,0.556,0.824,30.051,39.420,1.000,-1.566,-2.027,-0.965,0.163,0.103,1.194,-0.076,1.533,-0.858,1.064,MTLMIN,4,5.340,16094211363.060,0.000,1,CNY,0,
CHNABD2,,CN600673,GUANGDONGHECTECHNOLOGYHOLDINGCO,0.556,0.824,30.051,39.420,1.000,-1.566,-2.027,-0.965,0.163,0.103,1.194,-0.076,1.533,-0.858,1.064,MTLMIN,4,5.340,16094211363.060,0.000,0,CNY,0,
CHNABE1,,CN600675,CHINAENTERPRISECOLTD,0.617,0.639,23.068,32.219,1.000,-1.350,-1.487,-0.643,1.181,-0.965,-0.604,0.706,1.968,-2.684,0.862,REALEST,29,3.730,22738584489.960,3.710,1,CNY,0,
CHNABE2,,CN600675,CHINAENTERPRISECOLTD,0.617,0.639,23.068,32.219,1.000,-1.350,-1.487,-0.643,1.181,-0.965,-0.604,0.706,1.968,-2.684,0.862,REALEST,29,3.730,22738584489.960,3.710,0,CNY,0,
CHNABF1,,CN600674,SICHUANCHUANTOUENERGYCOLTD,0.400,0.435,17.069,22.312,1.000,-2.120,-0.049,-0.031,0.396,-0.845,-1.215,0.521,-0.071,-1.923,0.284,UTILITIE,32,9.960,43845356799.720,3.260,1,CNY,0,
CHNABF2,,CN600674,SICHUANCHUANTOUENERGYCOLTD,0.400,0.435,17.069,22.312,1.000,-2.120,-0.049,-0.031,0.396,-0.845,-1.215,0.521,-0.071,-1.923,0.284,UTILITIE,32,9.960,43845356799.720,3.260,0,CNY,0,
CHNABG1,,CN600651,SHANGHAIFEILOACOUSTICSCOLTD,0.512,0.720,42.135,48.978,1.000,-1.721,-1.753,-1.497,-1.530,0.677,-2.536,-0.392,2.655,-1.921,1.105,PERSPRD,23,3.630,9100511694.450,0.000,1,CNY,0,
CHNABG2,,CN600651,SHANGHAIFEILOACOUSTICSCOLTD,0.512,0.720,42.135,48.978,1.000,-1.721,-1.753,-1.497,-1.530,0.677,-2.536,-0.392,2.655,-1.921,1.105,PERSPRD,23,3.630,9100511694.450,0.000,0,CNY,0,
CHNABI1,,CN600639,SHANGHAIJINQIAOEXPPROCESSZNDEV,0.779,0.855,24.522,33.648,1.000,-0.778,-0.658,-1.205,1.433,-0.735,0.672,0.924,1.870,-1.070,1.136,REALEST,29,12.660,10763996659.980,2.464,1,CNY,0,
CHNABI3,,CN600639,SHANGHAIJINQIAOEXPPROCESSZNDEV,0.779,0.855,24.522,33.648,1.000,-0.778,-0.658,-1.205,1.433,-0.735,0.672,0.924,1.870,-1.070,1.136,REALEST,29,12.660,10763996659.980,2.464,0,CNY,0,
CHNABJ1,,CN600684,GUANGZHOUPEARLRIVERINDUSTRIAL,0.788,0.877,28.828,39.864,1.000,-0.745,-1.401,-2.620,0.204,-0.409,-1.048,1.543,3.166,-1.004,-0.762,REALEST,29,3.200,2731074313.600,0.904,1,CNY,0,
CHNABJ2,,CN600684,GUANGZHOUPEARLRIVERINDUSTRIAL,0.788,0.877,28.828,39.864,1.000,-0.745,-1.401,-2.620,0.204,-0.409,-1.048,1.543,3.166,-1.004,-0.762,REALEST,29,3.200,2731074313.600,0.904,0,CNY,0,
CHNABK1,,CN000503,CHINAREFORMHEALTHMGMNT&SVCSGR,1.036,1.101,36.364,48.018,1.000,0.132,-2.522,-1.502,-0.920,-0.126,-1.873,-1.070,-1.187,-0.372,1.103,HEALTH,26,10.070,9051139594.280,0.000,1,CNY,0,
CHNABK2,,CN000503,CHINAREFORMHEALTHMGMNT&SVCSGR,1.036,1.101,36.364,48.018,1.000,0.132,-2.522,-1.502,-0.920,-0.126,-1.873,-1.070,-1.187,-0.372,1.103,HEALTH,26,10.070,9051139594.280,0.000,0,CNY,0,
CHNABL1,,CN000502,LVJINGHOLDINGCOLTD,0.760,0.839,37.613,45.415,1.000,-0.845,-0.816,-3.198,-1.179,0.109,-2.343,-0.979,-1.194,-0.403,-2.525,REALEST,29,7.950,1469315820.000,0.000,1,CNY,0,
CHNABM1,,CN000505,HAINANJINGLIANGHOLDINGSCOLTD,1.077,1.310,49.731,61.031,1.000,0.278,-1.713,-1.797,-0.232,1.093,2.038,-0.077,-0.620,1.197,0.908,FOODPROD,25,8.850,6433509721.350,0.000,1,CNY,0,
CHNABN1,,CN000520,CHANGJIANGSHIPPINGGROUPPHOENIX,0.623,0.633,31.958,44.526,1.000,-1.328,-1.175,-2.399,-0.840,-1.103,-0.956,-1.036,-1.142,-1.485,-0.125,MARINE,15,3.420,3461325416.100,0.000,1,CNY,0,
CHNABO1,,CN600685,CSSCOFFSHORE&MARINEENGINEERING,1.004,1.260,52.022,59.828,1.000,0.019,0.124,-0.558,-0.262,1.798,-1.671,-0.211,0.994,0.988,0.793,MACH,11,25.690,21102669799.890,0.000,1,CNY,0,
CHNABO3,,CN600685,CSSCOFFSHORE&MARINEENGINEERING,1.004,1.260,52.022,59.828,1.000,0.019,0.124,-0.558,-0.262,1.798,-1.671,-0.211,0.994,0.988,0.793,MACH,11,25.690,21102669799.890,0.000,0,CNY,0,
CHNABP1,,CN600664,HARBINPHARMACEUTICALGROUPCOLTD,0.686,0.845,32.422,41.849,1.000,-1.107,-1.902,-1.598,-1.347,-0.159,-1.659,0.230,-0.604,-0.762,1.060,HEALTH,26,3.260,8172673547.760,0.000,1,CNY,0,
CHNABP2,,CN600664,HARBINPHARMACEUTICALGROUPCOLTD,0.686,0.845,32.422,41.849,1.000,-1.107,-1.902,-1.598,-1.347,-0.159,-1.659,0.230,-0.604,-0.762,1.060,HEALTH,26,3.260,8172673547.760,0.000,0,CNY,0,
CHNABQ1,,CN000504,NANHUABIO-MEDICINECOLTD,0.449,0.663,48.215,55.558,1.000,-1.946,0.131,-2.359,-0.752,1.360,1.271,-1.404,-0.773,-2.821,-0.025,HEALTH,26,11.600,3614257251.600,0.000,1,CNY,0,
CHNABR1,,CN000014,SHAHEINDUSTRIALCOLTD,1.266,1.136,31.256,44.045,1.000,0.947,-1.390,-3.014,-0.464,-0.686,-0.889,0.135,-0.989,-0.254,-2.301,REALEST,29,8.870,1789125124.000,0.119,1,CNY,0,
CHNABS1,,CN600665,TANDECOLTD,0.646,0.608,22.285,32.305,1.000,-1.248,-0.672,-2.541,1.160,-1.716,0.394,2.533,2.171,-2.444,-0.517,REALEST,29,3.440,2972581468.800,4.229,1,CNY,0,
CHNABU1,,CN600638,SHANGHAINEWHUANGPUINDUSTRIALGR,0.886,0.931,34.222,44.286,1.000,-0.399,-1.219,-2.190,-3.025,0.116,-1.024,1.626,1.739,-1.580,0.342,REALEST,29,6.430,4329941333.980,0.000,1,CNY,0,
CHNABU2,,CN600638,SHANGHAINEWHUANGPUINDUSTRIALGR,0.886,0.931,34.222,44.286,1.000,-0.399,-1.219,-2.190,-3.025,0.116,-1.024,1.626,1.739,-1.580,0.342,REALEST,29,6.430,4329941333.980,0.000,0,CNY,0,
CHNABV1,,CN600622,EVERBRIGHTJIABAOCOLTD,1.082,1.089,32.213,44.242,1.000,0.295,-1.650,-1.982,1.173,-1.058,0.244,2.225,2.039,-0.548,0.690,REALEST,29,3.610,5413864301.220,1.550,1,CNY,0,
CHNABV2,,CN600622,EVERBRIGHTJIABAOCOLTD,1.082,1.089,32.213,44.242,1.000,0.295,-1.650,-1.982,1.173,-1.058,0.244,2.225,2.039,-0.548,0.690,REALEST,29,3.610,5413864301.220,1.550,0,CNY,0,
CHNABW1,,CN600606,GREENLANDHOLDINGSCORPORATIONLTD,0.782,0.887,30.706,39.707,1.000,-0.765,-0.970,0.495,2.592,0.017,0.338,1.896,1.311,-0.397,-0.234,REALEST,29,6.330,77024417257.050,6.211,1,CNY,0,
CHNABW2,,CN600606,GREENLANDHOLDINGSCORPORATIONLTD,0.782,0.887,30.706,39.707,1.000,-0.765,-0.970,0.495,2.592,0.017,0.338,1.896,1.311,-0.397,-0.234,REALEST,29,6.330,77024417257.050,6.211,0,CNY,0,
CHNABX1,,CN600668,ZHEJIANGJIANFENGGROUPCOLTD,1.028,1.068,27.471,42.599,1.000,0.106,-0.517,-2.063,1.844,-1.869,0.312,1.235,-0.844,0.161,0.567,INDCONG,10,14.420,4961688799.760,1.995,1,CNY,0,
CHNABX2,,CN600668,ZHEJIANGJIANFENGGROUPCOLTD,1.028,1.068,27.471,42.599,1.000,0.106,-0.517,-2.063,1.844,-1.869,0.312,1.235,-0.844,0.161,0.567,INDCONG,10,14.420,4961688799.760,1.995,0,CNY,0,
CHNABY1,,CN600609,SHENYANGJINBEIAUTOMOTIVECOLTD,1.140,1.384,49.491,61.167,1.000,0.501,-1.148,-1.740,-0.633,1.500,0.015,-0.946,0.016,0.192,0.961,AUTO,17,5.350,7014922985.300,0.000,1,CNY,0,
CHNABZ2,,CN600650,SHANGHAIJINJIANGINTLINDINVEST,0.944,0.854,22.632,32.420,1.000,-0.192,-1.139,-2.225,0.059,-1.600,-0.533,0.775,-1.103,-1.871,0.272,RDRLTRAN,16,8.900,3475984667.500,2.750,1,CNY,0,
CHNABZ3,,CN600650,SHANGHAIJINJIANGINTLINDINVEST,0.944,0.854,22.632,32.420,1.000,-0.192,-1.139,-2.225,0.059,-1.600,-0.533,0.775,-1.103,-1.871,0.272,RDRLTRAN,16,8.900,3475984667.500,2.750,0,CNY,0,
CHNACA1,,CN600621,SHANGHAICHINAFORTUNECOLTD,1.641,1.577,33.732,51.800,1.000,2.274,-0.142,-0.723,-0.272,-0.974,-0.651,-0.305,0.202,1.182,0.921,DVFININS,28,19.680,20878498066.560,0.101,1,CNY,0,
CHNACA2,,CN600621,SHANGHAICHINAFORTUNECOLTD,1.641,1.577,33.732,51.800,1.000,2.274,-0.142,-0.723,-0.272,-0.974,-0.651,-0.305,0.202,1.182,0.921,DVFININS,28,19.680,20878498066.560,0.101,0,CNY,0,
CHNACD1,,CN600620,SHANGHAITIANCHENCOLTD,0.920,0.972,35.847,43.809,1.000,-0.278,-1.066,-2.124,-0.502,-0.190,-0.487,0.218,-1.196,-1.568,0.465,RDRLTRAN,16,6.770,4648804055.010,0.421,1,CNY,0,
CHNACD2,,CN600620,SHANGHAITIANCHENCOLTD,0.920,0.972,35.847,43.809,1.000,-0.278,-1.066,-2.124,-0.502,-0.190,-0.487,0.218,-1.196,-1.568,0.465,RDRLTRAN,16,6.770,4648804055.010,0.421,0,CNY,0,
CHNACE1,,CN600605,SHANGHAIHUITONGENERGYCOLTD,0.813,0.740,27.048,34.801,1.000,-0.657,-0.512,-3.024,-0.358,-0.944,-1.796,-0.091,-1.190,-1.394,-2.345,TRDDIST,12,12.020,1771082092.000,0.399,1,CNY,0,
CHNACF1,,CN600663,SHANGHAILUJIAZUIFIN&TRADEZONE,0.823,0.733,22.425,32.567,1.000,-0.621,-0.559,-0.145,2.508,-1.106,-0.414,1.375,2.170,-2.200,0.402,REALEST,29,11.350,33294787344.000,3.914,1,CNY,0,
CHNACF3,,CN600663,SHANGHAILUJIAZUIFIN&TRADEZONE,0.823,0.733,22.425,32.567,1.000,-0.621,-0.559,-0.145,2.508,-1.106,-0.414,1.375,2.170,-2.200,0.402,REALEST,29,11.350,33294787344.000,3.914,0,CNY,0,
CHNACG1,,CN600808,MAANSHANIRON&STEELCOLTD,0.694,0.834,23.612,34.598,1.000,-1.077,-0.810,-0.798,1.199,-0.753,0.500,2.729,0.650,-0.340,0.972,MTLMIN,4,2.680,15993573178.480,2.878,1,CNY,0,
CHNACG4,,CN600808,MAANSHANIRON&STEELCOLTD,0.694,0.834,23.612,34.598,1.000,-1.077,-0.810,-0.798,1.199,-0.753,0.500,2.729,0.650,-0.340,0.972,MTLMIN,4,2.680,15993573178.480,2.878,0,CNY,0,
CHNACH1,,CN600682,NANJINGXINJIEKOUDEPTSTORE,1.220,1.285,39.136,50.690,1.000,0.785,-1.349,-1.038,0.551,0.199,-1.743,2.108,-1.024,-0.336,1.094,RETAIL,22,11.060,14888222364.260,0.000,1,CNY,0,
CHNACH2,,CN600682,NANJINGXINJIEKOUDEPTSTORE,1.220,1.285,39.136,50.690,1.000,0.785,-1.349,-1.038,0.551,0.199,-1.743,2.108,-1.024,-0.336,1.094,RETAIL,22,11.060,14888222364.260,0.000,0,CNY,0,
CHNACI1,,CN600661,SHANGHAIXINNANYANGONLYEDU&TECH,0.627,0.754,32.959,42.216,1.000,-1.314,-2.125,-2.220,-1.203,-0.321,-0.368,-0.801,-1.135,-1.932,0.283,CONSSERV,20,14.640,4195074871.200,0.000,1,CNY,0,
CHNACI2,,CN600661,SHANGHAIXINNANYANGONLYEDU&TECH,0.627,0.754,32.959,42.216,1.000,-1.314,-2.125,-2.220,-1.203,-0.321,-0.368,-0.801,-1.135,-1.932,0.283,CONSSERV,20,14.640,4195074871.200,0.000,0,CNY,0,
CHNACK1,,CN600683,METROLANDCORPORATIONLTD,0.861,0.846,29.691,39.825,1.000,-0.487,-1.103,-2.492,0.081,-0.940,-1.326,1.693,3.147,-1.449,-0.374,REALEST,29,4.230,3133489036.500,0.000,1,CNY,0,
CHNACP1,,CN600635,SHANGHAIDAZHONGPUBLICUTILITIESG,0.954,0.887,26.431,35.328,1.000,-0.157,-1.227,-1.305,0.331,-1.651,-0.481,0.648,1.074,-0.684,1.141,UTILITIE,32,4.220,10207300868.500,1.399,1,CNY,0,
CHNACP3,,CN600635,SHANGHAIDAZHONGPUBLICUTILITIESG,0.954,0.887,26.431,35.328,1.000,-0.157,-1.227,-1.305,0.331,-1.651,-0.481,0.648,1.074,-0.684,1.141,UTILITIE,32,4.220,10207300868.500,1.399,0,CNY,0,
CHNACR1,,CN000007,SHENZHENQUANXINHAOCOLTD,0.258,0.677,41.043,47.701,1.000,-2.622,-0.545,-2.592,-1.053,1.265,-2.265,-1.256,-1.196,-0.004,-0.674,CONSSERV,20,8.120,2813158117.280,0.000,1,CNY,0,
CHNACS1,,CN000027,SHENZHENENERGYGROUPCOLTD,0.850,0.812,21.386,30.136,1.000,-0.526,-0.190,-0.517,2.080,-1.001,0.086,1.709,2.501,-1.117,0.758,UTILITIE,32,5.470,26022922840.520,0.882,1,CNY,0,
CHNACS2,,CN000027,SHENZHENENERGYGROUPCOLTD,0.850,0.812,21.386,30.136,1.000,-0.526,-0.190,-0.517,2.080,-1.001,0.086,1.709,2.501,-1.117,0.758,UTILITIE,32,5.470,26022922840.520,0.882,0,CNY,0,
CHNACU1,,CN000029,SHENZHENSPECIALECONOMICZONE,,0.955,35.372,42.951,1.000,-0.503,-1.070,-1.665,-0.230,-0.304,-0.804,-0.022,-1.166,-0.711,1.018,REALEST,29,8.140,7258113214.000,1.957,1,CNY,0,
CHNACU3,,CN000029,SHENZHENSPECIALECONOMICZONE,,0.955,35.372,42.951,1.000,-0.503,-1.070,-1.665,-0.230,-0.304,-0.804,-0.022,-1.166,-0.711,1.018,REALEST,29,8.140,7258113214.000,1.957,0,CNY,0,
CHNACV1,,CN600637,ORIENTALPEARLMEDIACOLTD,0.871,0.799,20.944,30.679,1.000,-0.452,-1.043,-0.342,0.431,-1.614,-1.514,1.453,-1.100,-0.996,0.597,MEDIA,21,9.200,31413401849.200,2.839,1,CNY,0,
CHNACV2,,CN600637,ORIENTALPEARLMEDIACOLTD,0.871,0.799,20.944,30.679,1.000,-0.452,-1.043,-0.342,0.431,-1.614,-1.514,1.453,-1.100,-0.996,0.597,MEDIA,21,9.200,31413401849.200,2.839,0,CNY,0,
CHNACW1,,CN600624,SHANGHAIFUDANFORWARDS&TCOLTD,0.774,0.864,36.575,44.534,1.000,-0.793,-1.169,-1.914,-0.801,-0.862,0.294,-0.783,-0.717,-0.001,0.779,HEALTH,26,8.500,5820052085.000,0.306,1,CNY,0,
CHNACW2,,CN600624,SHANGHAIFUDANFORWARDS&TCOLTD,0.774,0.864,36.575,44.534,1.000,-0.793,-1.169,-1.914,-0.801,-0.862,0.294,-0.783,-0.717,-0.001,0.779,HEALTH,26,8.500,5820052085.000,0.306,0,CNY,0,
CHNACX1,,CN600617,SHANXIGUOXINENERGYCORPLTD,0.814,0.901,29.789,40.752,1.000,-0.652,-1.622,-2.142,-1.303,0.114,-0.905,0.716,3.166,-1.958,0.432,ENERGY,1,4.450,4338368830.800,0.000,1,CNY,0,
CHNACX3,,CN600617,SHANXIGUOXINENERGYCORPLTD,0.814,0.901,29.789,40.752,1.000,-0.652,-1.622,-2.142,-1.303,0.114,-0.905,0.716,3.166,-1.958,0.432,ENERGY,1,4.450,4338368830.800,0.000,0,CNY,0,
CHNACY1,,CN600688,SINOPECSHANGHAIPETROCHEMICALCOL,0.614,0.720,24.470,31.817,1.000,-1.363,-1.693,-0.382,-0.509,-0.527,-0.326,0.839,-1.116,-1.757,0.635,CHEM,2,3.470,25430982845.000,3.390,1,CNY,0,
CHNACY3,,CN600688,SINOPECSHANGHAIPETROCHEMICALCOL,0.614,0.720,24.470,31.817,1.000,-1.363,-1.693,-0.382,-0.509,-0.527,-0.326,0.839,-1.116,-1.757,0.635,CHEM,2,3.470,25430982845.000,3.390,0,CNY,0,
CHNACZ1,,CN600679,SHANGHAIPHOENIXENTERPRISEGROUPC,0.773,1.062,46.055,54.122,1.000,-0.799,-1.415,-2.248,-0.728,0.918,0.032,-0.639,-1.043,0.521,0.224,LEISLUX,19,15.240,3514327952.280,0.000,1,CNY,0,
CHNADA1,,CN600626,SHANGHAISHENDACOLTD,0.853,0.958,29.661,41.722,1.000,-0.514,-2.228,-2.397,-1.133,-0.740,-0.165,1.338,1.954,-0.928,-0.120,RETAIL,22,4.070,3468825656.120,0.581,1,CNY,0,
