InstrumentID,Direction,OffsetFlag,LongPos,TradingDate,StrategyID,AccountID,ShortPos
000753.SZE,0,0,38700,2020-12-09,@hljk1alpha,hljk1alpha,0
000755.SZE,0,0,30900,2020-12-09,@hljk1alpha,hljk1alpha,0
000758.SZE,0,0,23100,2020-12-09,@hljk1alpha,hljk1alpha,0
000761.SZE,0,0,27700,2020-12-09,@hljk1alpha,hljk1alpha,0
000767.SZE,0,0,43800,2020-12-09,@hljk1alpha,hljk1alpha,0
000777.SZE,0,0,4500,2020-12-09,@hljk1alpha,hljk1alpha,0
000778.SZE,0,0,30200,2020-12-09,@hljk1alpha,hljk1alpha,0
000779.SZE,0,0,11200,2020-12-09,@hljk1alpha,hljk1alpha,0
000782.SZE,0,0,28400,2020-12-09,@hljk1alpha,hljk1alpha,0
000789.SZE,0,0,3900,2020-12-09,@hljk1alpha,hljk1alpha,0
000790.SZE,0,0,15700,2020-12-09,@hljk1alpha,hljk1alpha,0
000791.SZE,0,0,13400,2020-12-09,@hljk1alpha,hljk1alpha,0
000793.SZE,0,0,39700,2020-12-09,@hljk1alpha,hljk1alpha,0
000795.SZE,0,0,9500,2020-12-09,@hljk1alpha,hljk1alpha,0
000797.SZE,0,0,23700,2020-12-09,@hljk1alpha,hljk1alpha,0
000799.SZE,0,0,1000,2020-12-09,@hljk1alpha,hljk1alpha,0
000801.SZE,0,0,400,2020-12-09,@hljk1alpha,hljk1alpha,0
000802.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
000807.SZE,0,0,6600,2020-12-09,@hljk1alpha,hljk1alpha,0
000809.SZE,0,0,900,2020-12-09,@hljk1alpha,hljk1alpha,0
000810.SZE,0,0,6500,2020-12-09,@hljk1alpha,hljk1alpha,0
000811.SZE,0,0,6600,2020-12-09,@hljk1alpha,hljk1alpha,0
000819.SZE,0,0,7900,2020-12-09,@hljk1alpha,hljk1alpha,0
000821.SZE,0,0,7300,2020-12-09,@hljk1alpha,hljk1alpha,0
000822.SZE,0,0,28400,2020-12-09,@hljk1alpha,hljk1alpha,0
000825.SZE,0,0,30900,2020-12-09,@hljk1alpha,hljk1alpha,0
