NAME,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,ENERGY,CHEM,CONMAT,MTLMIN,MATERIAL,AERODEF,BLDPROD,CNSTENG,ELECEQP,INDCONG,MACH,TRDDIST,COMSERV,AIRLINE,MARINE,RDRLTRAN,AUTO,HOUSEDUR,LEISLUX,CONSSERV,MEDIA,RETAIL,PERSPRD,BEV,FOODPROD,HEALTH,BANKS,DVFININS,REALEST,SOFTWARE,HDWRSEMI,UTILITIE,COUNTRY,
RDRLTRAN,2.362140,-3.906018,0.076299,-1.540726,-0.449825,-1.594924,-0.080660,0.995957,2.586586,-0.118702,-0.426926,3.776885,11.336544,-0.049100,9.101969,11.242218,10.724389,14.080518,3.804168,3.131875,5.659006,11.263386,4.064302,15.610669,55.372136,56.729801,7.179424,0.100316,5.602198,14.753165,2.703347,13.589250,-0.309681,-1.041611,-0.128381,-3.401255,-14.767418,-18.037691,8.649336,-7.431839,2.647561,18.346194,2.193966,
AUTO,4.202646,-2.081211,-2.183151,-2.516026,3.382898,1.807670,-0.842433,0.982996,2.175747,-0.332736,-3.207333,26.063958,3.082856,16.209524,22.227341,42.355536,18.655039,1.210901,49.639309,43.342299,33.800458,13.369421,6.947873,7.084039,35.612311,7.179424,178.606623,48.463092,18.314830,6.487836,8.958825,10.927137,3.581399,4.946492,0.048015,-4.218144,-40.483572,-60.005333,-4.633949,-8.482129,17.674613,10.221719,11.786898,
HOUSEDUR,-2.376564,4.134569,3.524465,3.259575,-1.452921,2.332058,-3.261435,-0.629589,-5.417417,-2.335367,-13.557730,14.917052,24.467895,-1.432847,19.136082,-12.322774,46.293210,6.115153,20.535343,11.685678,19.848930,4.836083,16.913977,9.855557,12.362566,0.100316,48.463092,105.635232,25.818526,36.221905,10.793437,13.175675,30.744083,52.113207,12.851970,12.347540,-32.662026,-51.857120,4.775444,1.192067,11.742155,-0.309782,-6.710261,
LEISLUX,-2.201064,1.864855,-0.567937,1.662051,1.441029,0.908549,-1.416318,0.458891,-3.822710,-0.290173,-7.528121,21.729766,11.669749,3.907035,24.403379,-8.531200,18.403579,4.928747,9.165106,25.125912,13.075407,10.370771,19.295971,10.204939,-0.931649,5.602198,18.314830,25.818526,74.534215,19.054997,15.823297,27.047312,33.358411,27.515651,26.670083,37.014638,-32.806379,-39.047252,3.903321,2.946425,-5.601484,4.352456,-17.141721,
CONSSERV,-2.383409,-0.960068,4.085205,3.307850,-5.898562,-0.372286,-0.115991,1.628870,-6.099847,-1.444281,-5.059725,12.400095,55.251648,3.564729,21.091466,5.529663,51.553507,16.099298,0.441765,-7.123831,10.655007,11.498960,14.668342,23.578164,30.304460,14.753165,6.487836,36.221905,19.054997,201.359737,22.929310,36.748707,35.638023,67.218093,23.106354,-7.359874,-31.611295,-27.449088,23.081300,-5.379270,-12.545428,4.215060,-16.092717,
MEDIA,1.787605,-4.825435,-9.285376,-1.578763,6.661228,2.388005,0.692914,-2.370156,-1.133613,2.802365,-18.152981,1.792941,-9.421356,-12.063819,9.343181,3.193411,-3.498128,-1.982465,14.010487,9.465695,5.437317,3.605834,20.237801,8.004047,-6.545406,2.703347,8.958825,10.793437,15.823297,22.929310,110.584860,16.836708,20.749729,-19.376077,3.506128,15.772606,-21.177118,-19.632370,-2.811062,45.421180,19.239248,7.476775,-0.855063,
RETAIL,2.428379,0.229601,-1.539331,-0.700210,1.897934,0.012021,0.311063,0.105098,-2.427265,2.647045,-12.328135,7.326636,9.422025,-5.047201,17.260173,-4.614008,10.852850,3.442223,2.009080,18.466306,2.306370,13.115370,6.303671,12.174146,11.844167,13.589250,10.927137,13.175675,27.047312,36.748707,16.836708,87.877437,50.956721,30.615666,26.980108,20.832031,-29.162838,-20.602055,16.076209,0.070638,-4.768977,8.715879,6.000935,
PERSPRD,-4.501574,10.263254,1.402202,2.014625,0.118886,1.720776,-5.024857,-3.023972,-11.888294,-1.943642,-21.537722,9.774500,16.019534,-14.945083,14.147640,-28.019175,24.333443,4.177477,-6.192606,17.904500,5.285676,8.619405,20.451288,11.757590,-22.273463,-0.309681,3.581399,30.744083,33.358411,35.638023,20.749729,50.956721,166.071598,71.486482,72.932270,77.044773,-38.716876,-54.374985,2.826230,-3.401365,-15.219129,1.708917,-28.281151,
BEV,-7.569756,13.617771,10.707965,5.738820,-6.478615,3.123247,-6.852336,0.868888,-14.587000,-8.984184,1.783478,16.835418,28.846521,6.692190,21.381113,-111.748197,35.821313,-10.138061,-10.086339,17.220144,2.104785,5.130344,-7.456078,19.079493,34.696801,-1.041611,4.946492,52.113207,27.515651,67.218093,-19.376077,30.615666,71.486482,529.011054,109.915745,30.916319,-75.162872,-78.092679,5.656506,-70.226867,-54.668124,-11.475821,-7.373816,
FOODPROD,-9.559699,3.495348,0.396022,0.103325,-3.942410,0.331465,-0.886620,-0.258193,-9.781456,0.953974,-3.322066,24.179706,34.700786,4.330895,24.187422,9.134933,33.380505,10.558224,-6.978430,51.220962,6.896676,11.294233,17.409373,15.865485,9.790054,-0.128381,0.048015,12.851970,26.670083,23.106354,3.506128,26.980108,72.932270,109.915745,248.695550,31.460940,-57.306025,-65.426136,0.411598,-18.426840,-22.285945,9.821130,-38.897298,
HEALTH,-1.949545,15.250426,-3.401349,-1.503918,11.656848,4.041352,-3.073557,-4.360198,-7.191497,0.467033,-39.777646,15.176948,-10.258805,-33.654930,13.798075,-29.823858,-2.060925,-11.574810,1.794782,27.611093,0.352475,5.247284,22.826486,10.725270,-63.321690,-3.401255,-4.218144,12.347540,37.014638,-7.359874,15.772606,20.832031,77.044773,30.916319,31.460940,227.664814,-53.033271,-75.707652,-17.209734,18.527062,-5.701922,-0.906058,-28.964959,
BANKS,-4.157674,0.764909,0.455506,-0.681456,-3.706700,-0.936948,-3.734228,-1.719570,-1.437737,-2.643774,-14.073964,-41.875276,-48.349492,-35.900909,-31.583103,-27.478888,-36.578193,-20.392769,-36.284426,-57.664084,-28.900508,-22.192325,-27.201888,-9.468609,-38.776940,-14.767418,-40.483572,-32.662026,-32.806379,-31.611295,-21.177118,-29.162838,-38.716876,-75.162872,-57.306025,-53.033271,143.229529,48.148889,-4.127357,-11.905882,-18.333705,-19.571955,-21.358786,
DVFININS,7.672446,-13.028471,2.968550,4.658891,-3.557502,-4.489466,8.857086,2.556718,8.616781,2.769509,-10.857648,-45.109676,-35.700508,-19.732327,-33.834334,-16.497320,-42.272503,-18.009583,-56.113388,-43.831636,-31.554484,-16.458986,-32.598806,-19.013197,-20.981790,-18.037691,-60.005333,-51.857120,-39.047252,-27.449088,-19.632370,-20.602055,-54.374985,-78.092679,-65.426136,-75.707652,48.148889,275.551796,6.937416,-18.117508,-34.898454,-24.947046,86.722109,
REALEST,-0.702327,-2.827582,3.921728,4.545563,-5.753286,-2.534256,1.021401,3.131302,-1.826411,-2.557810,-2.213862,-6.358423,30.005918,1.188404,2.800492,-8.194167,16.827395,12.574993,-12.478334,11.725767,-2.619985,9.072605,0.497685,2.158382,7.824485,8.649336,-4.633949,4.775444,3.903321,23.081300,-2.811062,16.076209,2.826230,5.656506,0.411598,-17.209734,-4.127357,6.937416,74.572493,-17.990666,-15.664073,0.858337,-3.078030,
SOFTWARE,3.385789,-0.797225,-7.706482,-5.227221,7.762064,4.377197,2.439206,-4.624578,0.957938,5.010674,-25.600694,-6.733515,-26.772336,-22.262203,-1.226341,22.067300,-20.929332,-3.115951,16.446079,-9.907067,3.298520,-5.287401,20.725781,0.960633,-29.202606,-7.431839,-8.482129,1.192067,2.946425,-5.379270,45.421180,0.070638,-3.401365,-70.226867,-18.426840,18.527062,-11.905882,-18.117508,-17.990666,116.341617,51.518844,3.893188,-4.988416,
HDWRSEMI,9.167096,0.578579,-6.560605,-5.601630,7.482384,4.395465,-0.866414,-4.023162,2.897161,4.030207,-21.698251,3.082306,-29.193990,-17.080794,2.647867,33.945684,-14.256242,-4.662456,42.473889,-3.469882,9.963799,-0.248493,7.311998,-7.240421,-8.532241,2.647561,17.674613,11.742155,-5.601484,-12.545428,19.239248,-4.768977,-15.219129,-54.668124,-22.285945,-5.701922,-18.333705,-34.898454,-15.664073,51.518844,89.053779,8.911308,6.033480,
UTILITIE,2.396295,-1.488122,-3.385149,-3.411470,1.048835,-0.694796,1.591776,-0.496839,2.750438,-0.185222,3.844866,4.309735,2.102978,-1.026030,5.794658,10.043173,6.640764,9.458973,21.075667,15.527318,6.274770,8.555387,12.996056,2.761699,12.122354,18.346194,10.221719,-0.309782,4.352456,4.215060,7.476775,8.715879,1.708917,-11.475821,9.821130,-0.906058,-19.571955,-24.947046,0.858337,3.893188,8.911308,55.932936,-12.396546,
COUNTRY,80.699554,-18.019476,-15.770462,6.350699,41.392359,2.511592,3.498692,-0.607243,25.042027,15.965687,2.002659,-0.528478,-13.956956,-3.628783,-9.068564,34.757760,-11.190363,-11.250424,-7.186105,28.457186,10.044211,-4.195384,-6.795582,0.217735,-22.087248,2.193966,11.786898,-6.710261,-17.141721,-16.092717,-0.855063,6.000935,-28.281151,-7.373816,-38.897298,-28.964959,-21.358786,86.722109,-3.078030,-4.988416,6.033480,-12.396546,462.304716,
